"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Topic","Subtopics","IntrinsicDifficulty"
"What is a database index and how does it actually improve query performance?","A database index is a separate data structure (often a B-tree) that maps column values to row locations so the engine can jump directly to matching rows instead of scanning the entire table.","Indexes matter because most query cost comes from disk I/O, and avoiding full scans keeps performance stable as data grows.","Use indexes on columns used in WHERE, JOIN, ORDER BY, or GROUP BY with good selectivity.","Indexes speed reads but slow writes since every insert/update must maintain the index, and they consume extra storage.","Mistake: adding indexes to every column. Why wrong: low-selectivity indexes are often ignored. Consequence: wasted space and slower writes with no read benefit.","A login query uses an email index to avoid scanning millions of users.","database","indexing,performance","2"
"Why does index selectivity matter when designing indexes?","Selectivity measures how unique values are; high selectivity lets the engine narrow results quickly, while low selectivity still touches many rows so the index provides little benefit.","It matters because the optimizer chooses plans based on how much data must be read, and low selectivity often leads to full scans.","Use indexes on high-cardinality columns like IDs or emails, not boolean flags.","High selectivity improves read performance, but indexing many columns increases write overhead and storage cost.","Mistake: indexing a boolean column. Why wrong: large portions of the table still match. Consequence: optimizer skips the index and you still pay maintenance cost.","Filtering on is_active often scans most rows despite having an index.","database","indexing,performance","3"
"What is a composite index and how does column order affect it?","A composite index stores multiple columns in a defined order, and the engine can efficiently use only the leftmost prefix of that order.","Order matters because queries must match the leading columns to benefit from the index.","Use composite indexes when queries filter on multiple columns together, placing the most selective or common filter first.","They speed multi-column queries but increase size and write cost, and wrong ordering reduces usefulness.","Mistake: putting a low-selectivity column first. Why wrong: it doesn’t narrow results early. Consequence: large index scans or optimizer skipping it.","Indexing (status, user_id) is worse than (user_id, status) when user_id is more selective.","database","indexing,performance","3"
"What is a covering index and why can it eliminate table lookups?","A covering index includes all columns needed for a query, so the engine can answer it directly from the index without reading the base table.","This matters because avoiding table lookups removes extra I/O, which is often the dominant cost.","Use for frequently executed queries with predictable column access.","They improve read speed but increase index size and memory usage and slow writes.","Mistake: adding too many columns to cover everything. Why wrong: bloated indexes hurt cache efficiency. Consequence: overall performance degrades.","An index on (email, id) serves a query without touching the table.","database","indexing,performance","4"
"What is index fragmentation and how does it affect performance?","Fragmentation occurs when index pages become disordered due to inserts and updates, increasing page reads and reducing locality.","It matters because fragmented indexes require more I/O to traverse, slowing queries over time.","Monitor and rebuild or reorganize indexes in write-heavy systems.","Rebuilding restores performance but consumes resources and may lock tables.","Mistake: ignoring fragmentation. Why wrong: degradation is gradual and unnoticed. Consequence: queries get slower over time.","A busy orders table slows until indexes are rebuilt.","database","indexing,performance","3"
"Why can too many indexes degrade overall system performance?","Every write must update all relevant indexes, so having many indexes increases insert, update, and delete cost.","It matters because write-heavy systems can become bottlenecked by index maintenance.","Limit indexes to those supporting real query patterns.","More indexes improve reads but degrade writes and increase storage.","Mistake: indexing every column proactively. Why wrong: many indexes are never used. Consequence: slower writes and wasted space.","A logging system slows due to maintaining unused indexes.","database","indexing,performance","3"
"What is a partial index and when should you use it?","A partial index only includes rows matching a condition, reducing size and focusing on relevant data.","It matters because smaller indexes are faster and more cache-friendly for targeted queries.","Use when queries consistently filter on a subset like status='active'.","They are efficient for specific queries but useless outside the condition.","Mistake: expecting it to work for all queries. Why wrong: it only covers filtered rows. Consequence: missed optimization.","Indexing only active users improves targeted queries.","database","indexing,performance","4"
"What is the difference between clustered and non-clustered indexes?","A clustered index defines the physical order of rows, while a non-clustered index stores separate pointers to rows.","It matters because physical ordering improves range queries and data locality.","Use clustered indexes for primary keys or range-based queries.","Only one clustered index exists, and changing it is expensive.","Mistake: picking a poor clustered key. Why wrong: affects entire table layout. Consequence: inefficient access patterns.","Clustering by timestamp speeds time-range queries.","database","indexing,performance","3"
"Why are range queries particularly sensitive to index design?","Range queries traverse ordered index segments, so proper indexing enables efficient sequential access instead of scanning the table.","It matters because large ranges still read many rows, so design affects how much data is touched.","Use indexes on columns used in BETWEEN, >, or < filters.","Indexes help but large ranges still require scanning many entries.","Mistake: assuming index makes all ranges fast. Why wrong: wide ranges still scan heavily. Consequence: high I/O.","Querying a year of orders still scans many index entries.","database","indexing,performance","3"
"What is a hash index and when is it useful?","A hash index maps keys via a hash function for fast equality lookups but has no ordering for range queries.","It matters because it excels at exact matches but cannot support sorting or ranges.","Use for equality-based lookups only.","Fast for equality but unusable for ordered queries.","Mistake: using it for range queries. Why wrong: no order. Consequence: fallback to full scan.","User ID lookup is fast, but ID range query is not.","database","indexing","3"
